# t (s)	mx ()	my ()	mz ()	E_total (J)
0	7.0637184e-06	0.04957689	-2.1457673e-08	-1.4261114e-16
2.501167281542283e-10	7.2190596e-06	0.04957689	-3.1392276e-06	-1.4261102e-16
5.001946056280302e-10	7.62715e-06	0.049576882	-6.4906476e-06	-1.4261085e-16
7.500568638247035e-10	8.127125e-06	0.049576882	-9.98348e-06	-1.4261066e-16
1.0000646465803855e-09	8.512811e-06	0.049576875	-1.3618172e-05	-1.4261049e-16
1.2500856236112837e-09	8.488945e-06	0.049576875	-1.744181e-05	-1.4261037e-16
1.50030363462558e-09	7.894423e-06	0.049576875	-2.1132231e-05	-1.4261023e-16
1.750271527745153e-09	6.64868e-06	0.049576875	-2.4312734e-05	-1.4261009e-16
2.0002375660186273e-09	4.782363e-06	0.04957689	-2.6867985e-05	-1.4260995e-16
2.250266557983776e-09	2.4184715e-06	0.049576916	-2.852559e-05	-1.426099e-16
2.5001126106939783e-09	-1.5131401e-07	0.0495769	-2.8983355e-05	-1.4260979e-16
2.7501580276272713e-09	-2.651423e-06	0.0495769	-2.8328895e-05	-1.4260975e-16
3.0001809877861983e-09	-4.865796e-06	0.049576897	-2.6722253e-05	-1.4260964e-16
3.2500519363981966e-09	-6.5420263e-06	0.049576875	-2.415806e-05	-1.426096e-16
3.5002397500975108e-09	-7.5965495e-06	0.04957688	-2.0939111e-05	-1.4260955e-16
3.7501793694357365e-09	-8.025971e-06	0.049576882	-1.7516166e-05	-1.4260948e-16
4.0001450775023146e-09	-8.026443e-06	0.04957688	-1.3972521e-05	-1.4260944e-16
4.250185739972337e-09	-7.683171e-06	0.049576875	-1.0421723e-05	-1.4260942e-16
4.500096342499526e-09	-7.329692e-06	0.049576882	-7.1144104e-06	-1.4260939e-16
4.750312658544185e-09	-7.2132907e-06	0.049576893	-3.942698e-06	-1.4260931e-16
5.000016251507641e-09	-7.365605e-06	0.049576897	-6.6936013e-07	-1.4260931e-16
5.250121335826045e-09	-7.763175e-06	0.049576882	2.6834011e-06	-1.4260926e-16
5.500141618220072e-09	-8.365884e-06	0.04957689	6.1924757e-06	-1.4260923e-16
5.750125379948488e-09	-8.971525e-06	0.049576882	1.0078252e-05	-1.4260925e-16
6.000193611515595e-09	-9.183201e-06	0.049576882	1.4158636e-05	-1.4260922e-16
6.2501105997323585e-09	-8.948447e-06	0.049576875	1.8131435e-05	-1.4260918e-16
6.500077213874239e-09	-8.066573e-06	0.049576875	2.192676e-05	-1.4260918e-16
6.750056427338003e-09	-6.4795754e-06	0.04957688	2.5228263e-05	-1.4260914e-16
7.000258017342384e-09	-4.319979e-06	0.049576893	2.75971e-05	-1.4260914e-16
7.2501842159429745e-09	-1.8628987e-06	0.049576916	2.8946548e-05	-1.4260914e-16
7.500174915867715e-09	6.994244e-07	0.049576897	2.9258132e-05	-1.4260913e-16
7.750115612116021e-09	3.1225895e-06	0.049576897	2.8390885e-05	-1.426091e-16
8.000180427428495e-09	5.0892086e-06	0.04957689	2.6506483e-05	-1.426091e-16
8.25015798721995e-09	6.5087365e-06	0.04957688	2.3976565e-05	-1.4260906e-16
8.500055146270825e-09	7.3252427e-06	0.049576864	2.0927042e-05	-1.4260903e-16
8.750263703834307e-09	7.65657e-06	0.049576882	1.7532557e-05	-1.4260907e-16
9.000209544200302e-09	7.5874336e-06	0.04957689	1.4168173e-05	-1.4260907e-16
9.250097153774647e-09	7.422949e-06	0.049576875	1.089558e-05	-1.4260906e-16
9.500015592433009e-09	7.3411397e-06	0.049576893	7.5867774e-06	-1.4260906e-16
9.750229600210658e-09	7.4862114e-06	0.049576893	4.2912366e-06	-1.42609e-16
1.0000196135323977e-08	7.912848e-06	0.049576897	9.644032e-07	-1.42609e-16
1.0250085750396293e-08	8.557654e-06	0.04957688	-2.6980042e-06	-1.4260897e-16
1.050018014542147e-08	9.248407e-06	0.049576893	-6.685853e-06	-1.4260897e-16
1.0750038129887906e-08	9.698111e-06	0.04957689	-1.0837465e-05	-1.4260896e-16
1.1000089709836815e-08	9.785269e-06	0.049576864	-1.5152991e-05	-1.4260893e-16
1.1250266124845068e-08	9.224397e-06	0.04957686	-1.9448995e-05	-1.4260896e-16
1.1500027421154159e-08	8.009679e-06	0.049576875	-2.3249238e-05	-1.4260894e-16
1.1750281719683416e-08	6.1633264e-06	0.04957691	-2.634853e-05	-1.4260893e-16
1.2000104270909616e-08	3.856452e-06	0.049576893	-2.8631985e-05	-1.4260894e-16
1.2250258042420689e-08	1.317733e-06	0.049576897	-2.9780567e-05	-1.426089e-16
1.2500188085370419e-08	-1.1516296e-06	0.04957691	-2.9740333e-05	-1.4260892e-16
1.2750047098088068e-08	-3.3332703e-06	0.0495769	-2.876997e-05	-1.4260888e-16
1.3000292228209988e-08	-5.094182e-06	0.049576893	-2.693087e-05	-1.4260886e-16
1.3250299733342121e-08	-6.259277e-06	0.04957688	-2.4328829e-05	-1.4260889e-16
1.3500153724351146e-08	-6.9493044e-06	0.04957688	-2.1379888e-05	-1.4260888e-16
1.3750094406076644e-08	-7.2407665e-06	0.049576882	-1.8295646e-05	-1.4260886e-16
1.4000217987299004e-08	-7.3038204e-06	0.0495769	-1.5024245e-05	-1.4260881e-16
1.4250230006909167e-08	-7.329532e-06	0.049576882	-1.1744052e-05	-1.4260882e-16
1.4500214913237161e-08	-7.5446583e-06	0.049576893	-8.511693e-06	-1.4260881e-16
1.4750072296422266e-08	-8.004925e-06	0.049576893	-5.073249e-06	-1.426088e-16
1.500007293327901e-08	-8.629639e-06	0.049576893	-1.3318657e-06	-1.426088e-16
1.525003781589155e-08	-9.373441e-06	0.049576882	2.6157497e-06	-1.4260878e-16
1.5500235880369688e-08	-1.00271045e-05	0.04957689	6.899834e-06	-1.4260878e-16
1.575006973390962e-08	-1.0352612e-05	0.04957688	1.1498034e-05	-1.426087e-16
1.6000246359573695e-08	-1.0119723e-05	0.049576864	1.6039909e-05	-1.4260872e-16
1.625016033032437e-08	-9.3024955e-06	0.04957686	2.0302235e-05	-1.4260874e-16
1.6500249454037746e-08	-7.787949e-06	0.049576882	2.4156869e-05	-1.4260874e-16
1.6750279954475927e-08	-5.7048305e-06	0.049576893	2.7192831e-05	-1.4260872e-16
1.7000153007869915e-08	-3.369396e-06	0.04957689	2.9149502e-05	-1.4260869e-16
1.725020559693021e-08	-9.464868e-07	0.04957691	3.012836e-05	-1.4260869e-16
1.750000212747546e-08	1.4055107e-06	0.049576916	3.0061603e-05	-1.4260864e-16
1.7750317787798162e-08	3.402749e-06	0.0495769	2.8937757e-05	-1.4260862e-16
1.8000243944223943e-08	4.880894e-06	0.04957689	2.7095377e-05	-1.4260864e-16
1.8250225447372588e-08	5.947202e-06	0.049576882	2.4747551e-05	-1.4260861e-16
1.850000760032816e-08	6.58116e-06	0.04957688	2.1933913e-05	-1.4260858e-16
1.875029264472998e-08	6.921153e-06	0.049576875	1.8897503e-05	-1.4260853e-16
1.9000098466042646e-08	7.1915924e-06	0.049576897	1.5836358e-05	-1.4260854e-16
1.9250210398699174e-08	7.529907e-06	0.049576882	1.2584329e-05	-1.4260856e-16
1.9500214001588655e-08	8.001855e-06	0.049576882	9.100139e-06	-1.4260852e-16
1.975022517225936e-08	8.656714e-06	0.0495769	5.4639577e-06	-1.4260848e-16
2.0000016363028612e-08	9.4776115e-06	0.04957691	1.476258e-06	-1.4260849e-16
2.0250038901146377e-08	1.0245146e-05	0.04957688	-2.9437244e-06	-1.4260853e-16
2.050021616215646e-08	1.07387605e-05	0.049576882	-7.5796247e-06	-1.4260845e-16
2.075010720282263e-08	1.0790324e-05	0.049576893	-1.2312383e-05	-1.4260849e-16
2.1000275733603937e-08	1.0309087e-05	0.049576867	-1.706019e-05	-1.426084e-16
2.125014838212183e-08	9.1811135e-06	0.049576867	-2.1407306e-05	-1.4260843e-16
2.1500192112679568e-08	7.457572e-06	0.04957688	-2.5039017e-05	-1.4260844e-16
2.175029200181556e-08	5.3457125e-06	0.049576893	-2.7895272e-05	-1.4260841e-16
2.200005142670765e-08	3.0007975e-06	0.049576893	-2.9796063e-05	-1.4260845e-16
2.225006946641756e-08	6.7192593e-07	0.049576912	-3.0547082e-05	-1.4260844e-16
2.250008843377261e-08	-1.3924823e-06	0.049576916	-3.0356943e-05	-1.4260843e-16
2.275005235739575e-08	-3.1517056e-06	0.049576893	-2.9395818e-05	-1.4260841e-16
2.3000092455474246e-08	-4.5473525e-06	0.049576882	-2.7653576e-05	-1.4260837e-16
2.3250318067503803e-08	-5.5221644e-06	0.049576893	-2.5363863e-05	-1.426084e-16
2.3500123441162716e-08	-6.201456e-06	0.049576882	-2.2821874e-05	-1.4260839e-16
2.375006007449987e-08	-6.744823e-06	0.049576875	-1.9950568e-05	-1.4260837e-16
2.400016943798121e-08	-7.2623725e-06	0.049576882	-1.6778708e-05	-1.4260835e-16
