# t (s)	mx ()	my ()	mz ()	E_total (J)
0	3.0768992e-06	0.050317194	-3.1427903e-09	-1.248281e-16
2.50162164583314e-10	1.6784552e-06	0.050317194	-2.1537867e-06	-1.2482767e-16
5.00022996499312e-10	-4.0150405e-07	0.050317198	-2.5831027e-06	-1.2482717e-16
7.500450122872949e-10	-1.6942049e-07	0.050317198	-2.0975417e-06	-1.2482673e-16
1.0001502882357583e-09	1.9300055e-06	0.050317194	-2.793182e-06	-1.2482635e-16
1.2501212550973765e-09	2.6652103e-06	0.0503172	-4.9028613e-06	-1.2482612e-16
1.5000505884703668e-09	7.173867e-07	0.050317194	-6.4281444e-06	-1.2482586e-16
1.7500900840734506e-09	-1.1732232e-06	0.05031719	-6.0722505e-06	-1.2482566e-16
2.0000127391393668e-09	-4.6438134e-07	0.05031719	-5.144856e-06	-1.2482547e-16
2.2500349632207655e-09	1.5533165e-06	0.05031724	-5.6077133e-06	-1.2482539e-16
2.500068856562575e-09	1.6303927e-06	0.050317194	-7.129691e-06	-1.2482529e-16
2.750097515604101e-09	-6.570919e-07	0.05031719	-7.5745584e-06	-1.2482518e-16
3.0000640035656126e-09	-2.136914e-06	0.050317198	-6.1753663e-06	-1.2482509e-16
3.250136466717167e-09	-9.322744e-07	0.050317187	-4.6695363e-06	-1.2482504e-16
3.5000255802411042e-09	9.526837e-07	0.050317213	-4.7275153e-06	-1.2482498e-16
3.750017663112672e-09	4.5092608e-07	0.0503172	-5.4824895e-06	-1.2482493e-16
4.000157909899881e-09	-1.8939643e-06	0.050317194	-4.843636e-06	-1.2482489e-16
4.2501141824459775e-09	-2.7698015e-06	0.050317198	-2.619028e-06	-1.2482484e-16
4.500153662258166e-09	-1.0583117e-06	0.05031721	-8.3013015e-07	-1.2482492e-16
4.750049371100369e-09	6.3603693e-07	0.050317198	-7.390976e-07	-1.248249e-16
5.000094189921908e-09	-3.174594e-07	0.050317194	-1.0114367e-06	-1.2482485e-16
5.250074888347453e-09	-2.497766e-06	0.050317194	2.709302e-07	-1.2482481e-16
5.5001547007600004e-09	-2.647367e-06	0.050317183	2.7108192e-06	-1.2482482e-16
5.7501417823978264e-09	-5.244652e-07	0.05031721	4.1713497e-06	-1.2482482e-16
6.000025870398845e-09	8.8366954e-07	0.050317224	3.8942426e-06	-1.2482481e-16
6.250123998891423e-09	-4.3879422e-07	0.050317224	3.5973028e-06	-1.2482476e-16
6.500019073554155e-09	-2.3025973e-06	0.05031723	4.8900733e-06	-1.2482473e-16
6.750082862980494e-09	-1.7369465e-06	0.050317243	6.857785e-06	-1.248248e-16
7.000135148878793e-09	6.214293e-07	0.050317243	7.388375e-06	-1.2482476e-16
7.2500507681224734e-09	1.5942198e-06	0.050317243	6.295009e-06	-1.2482473e-16
7.500070353646375e-09	-6.023636e-08	0.050317228	5.568266e-06	-1.2482473e-16
7.750030962804439e-09	-1.5531018e-06	0.05031724	6.421046e-06	-1.2482474e-16
8.000077477295754e-09	-4.0075446e-07	0.05031725	7.478974e-06	-1.2482472e-16
8.250060756282346e-09	1.9378458e-06	0.050317243	6.821481e-06	-1.2482472e-16
8.500075232205995e-09	2.310299e-06	0.050317243	4.8414145e-06	-1.2482464e-16
8.750113867674068e-09	3.3264874e-07	0.050317258	3.687035e-06	-1.2482468e-16
9.00005863174825e-09	-7.778717e-07	0.050317258	4.0744653e-06	-1.2482472e-16
9.25008059929721e-09	7.887559e-07	0.05031723	4.2628158e-06	-1.2482472e-16
9.500084818685586e-09	2.8507432e-06	0.050317235	2.6524067e-06	-1.248247e-16
9.750027451737335e-09	2.485434e-06	0.05031723	2.1295114e-07	-1.2482469e-16
1.0000023921227578e-08	2.7655454e-07	0.05031724	-9.4392084e-07	-1.248247e-16
1.0250141989579536e-08	-4.4301385e-07	0.05031722	-6.474148e-07	-1.2482469e-16
1.0500034187519829e-08	1.3616219e-06	0.05031721	-8.959662e-07	-1.2482466e-16
1.075014311801225e-08	2.9666992e-06	0.050317228	-2.842925e-06	-1.2482461e-16
1.1000094915812391e-08	1.8591637e-06	0.050317228	-5.04174e-06	-1.2482469e-16
1.1250132651392699e-08	-4.3633923e-07	0.05031719	-5.574118e-06	-1.2482466e-16
1.1500045818156522e-08	-6.975772e-07	0.050317176	-4.850626e-06	-1.2482468e-16
1.1750126347604421e-08	1.2242964e-06	0.0503172	-4.982623e-06	-1.2482468e-16
1.2000015986528507e-08	2.2776992e-06	0.0503172	-6.603761e-06	-1.2482464e-16
