,t,mx,my,mz,E_total
0,0.0,0.09760121,1.0701747e-06,6.0599464e-10,-1.8454198000000003e-16
1,1.0007202797792578e-10,0.09760122,8.8066605e-07,7.6018614e-07,-1.8454157000000002e-16
2,2.0016489519469107e-10,0.097601235,3.4671467e-07,1.2302098e-06,-1.845411e-16
3,3.0001657503232664e-10,0.097601235,-2.746518e-07,1.2531451e-06,-1.8454045e-16
4,4.000704921124988e-10,0.09760124,-7.8447016e-07,8.1744724e-07,-1.8453972000000001e-16
5,5.00190325884078e-10,0.09760124,-9.889792e-07,1.2055166e-07,-1.8453908e-16
6,6.001816983131624e-10,0.09760126,-8.5274064e-07,-6.2857714e-07,-1.845385e-16
7,7.000404315218744e-10,0.09760126,-4.111495e-07,-1.1275735e-06,-1.8453792000000002e-16
8,8.000997308130582e-10,0.09760127,2.1331097e-07,-1.2316309e-06,-1.8453743e-16
9,9.000187513127576e-10,0.09760128,7.813961e-07,-8.4439654e-07,-1.8453689e-16
10,1.0000938294818143e-09,0.09760127,1.0878188e-06,-1.35231e-07,-1.8453653000000002e-16
11,1.1000528967230264e-09,0.09760129,9.431636e-07,6.510186e-07,-1.8453615000000001e-16
12,1.2000852090784115e-09,0.097601235,4.916051e-07,1.1967918e-06,-1.8453574000000001e-16
13,1.30004803597362e-09,0.09760122,-1.2951924e-07,1.3171006e-06,-1.8453531000000002e-16
14,1.400034867707261e-09,0.09760126,-6.5411507e-07,9.844224e-07,-1.8453492000000001e-16
15,1.500106099077725e-09,0.097601295,-9.738085e-07,3.1353017e-07,-1.8453465000000001e-16
16,1.6000007190073836e-09,0.09760132,-9.200843e-07,-4.3970195e-07,-1.8453431000000003e-16
17,1.7001473140234015e-09,0.09760136,-5.282382e-07,-1.0414154e-06,-1.8453388e-16
18,1.800119375726918e-09,0.09760136,9.089126e-08,-1.2267684e-06,-1.8453363000000002e-16
19,1.900076663622818e-09,0.09760131,6.8186483e-07,-9.631755e-07,-1.8453367000000002e-16
20,2.00002957928413e-09,0.09760129,1.0169413e-06,-2.9678117e-07,-1.8453338000000002e-16
21,2.10008016499952e-09,0.09760137,1.0327276e-06,4.7509687e-07,-1.8453354000000002e-16
22,2.200143981356547e-09,0.09760121,6.236557e-07,1.1132898e-06,-1.8453337000000002e-16
23,2.300174253532372e-09,0.0976012,1.6009224e-08,1.3336372e-06,-1.8453317e-16
24,2.4001661506441115e-09,0.09760129,-5.8725993e-07,1.0964096e-06,-1.8453298000000002e-16
25,2.500126501143764e-09,0.09760121,-9.1624986e-07,4.8935476e-07,-1.8453263e-16
26,2.600097367329824e-09,0.09760129,-9.698903e-07,-2.721949e-07,-1.8453263e-16
27,2.7000376988913395e-09,0.09760126,-6.518952e-07,-9.301453e-07,-1.8453243000000002e-16
28,2.800148719833205e-09,0.09760129,-8.5174634e-08,-1.2400322e-06,-1.8453233e-16
29,2.900129695841803e-09,0.09760136,5.573008e-07,-1.0601904e-06,-1.8453223e-16
30,3.000024412403786e-09,0.09760136,9.933525e-07,-4.754844e-07,-1.8453211000000003e-16
31,3.100097975336638e-09,0.0976013,1.0330866e-06,3.2673464e-07,-1.8453194e-16
