# t (s)	mx ()	my ()	mz ()	E_total (J)
0	9.4781484e-05	0.05002523	5.0756665e-07	-4.853984e-16
2.501259089978173e-10	8.8813395e-05	0.050025262	-4.963549e-06	-4.853977e-16
5.000215762140644e-10	7.5214935e-05	0.05002533	-6.2249733e-06	-4.853969e-16
7.501018837125548e-10	6.236704e-05	0.050025325	-3.2713249e-06	-4.853961e-16
1.0000064678452205e-09	5.4463384e-05	0.05002513	-7.4770355e-07	-4.8539546e-16
1.250142239920114e-09	4.6201447e-05	0.05002459	-2.624738e-06	-4.853951e-16
1.5001078297198798e-09	3.0096884e-05	0.05002349	-7.734098e-06	-4.853947e-16
1.7500773817756161e-09	5.1648212e-06	0.05002158	-1.1129239e-05	-4.8539445e-16
2.0000726791529373e-09	-2.0890026e-05	0.050018493	-9.836553e-06	-4.85394e-16
2.250059215724026e-09	-4.002248e-05	0.050013755	-5.9941653e-06	-4.8539403e-16
2.5001677327343507e-09	-5.167866e-05	0.05000666	-4.1617504e-06	-4.853938e-16
2.7501560041367364e-09	-6.174287e-05	0.049996268	-5.7980965e-06	-4.8539366e-16
3.0000860474206334e-09	-7.397863e-05	0.0499811	-7.909905e-06	-4.8539345e-16
3.2501190845395535e-09	-8.4689185e-05	0.04995901	-6.8532313e-06	-4.853935e-16
3.500079618070117e-09	-8.6497756e-05	0.049927182	-2.8782492e-06	-4.853935e-16
3.750101706918358e-09	-7.661925e-05	0.04988192	4.642862e-07	-4.853933e-16
4.000116659306621e-09	-5.9337013e-05	0.049819134	5.912781e-07	-4.8539313e-16
4.250127254435762e-09	-4.013547e-05	0.049734853	-1.1597882e-06	-4.8539297e-16
4.500119573634095e-09	-1.9371188e-05	0.049626317	-1.8498042e-06	-4.853931e-16
4.750123750394332e-09	7.261242e-06	0.049493082	-1.1893633e-06	-4.8539324e-16
5.000130041194634e-09	4.1475832e-05	0.04933828	-2.3875348e-06	-4.853931e-16
5.250115178294153e-09	7.956472e-05	0.049169004	-8.129494e-06	-4.853931e-16
5.500046219853693e-09	0.00011494579	0.04899559	-1.5623365e-05	-4.85393e-16
5.750016870597931e-09	0.00014703487	0.048829265	-1.6766124e-05	-4.853931e-16
