# t (s)	mx ()	my ()	mz ()	E_total (J)
0	3.4519346e-06	0.050300695	-2.4383717e-09	-1.2493757e-16
2.50141051564756e-10	1.3342494e-06	0.050300695	-2.2514841e-06	-1.249373e-16
5.001611397670973e-10	-1.830923e-06	0.050300702	-1.880364e-06	-1.2493698e-16
7.500496294721446e-10	-1.3988159e-06	0.050300702	-1.41263e-07	-1.2493665e-16
1.0001784820538262e-09	1.9525808e-06	0.050300702	-3.0111184e-07	-1.2493643e-16
1.250058375296183e-09	3.1689917e-06	0.050300702	-2.7482617e-06	-1.2493625e-16
1.5001263151928446e-09	3.3455024e-07	0.050300702	-4.3955174e-06	-1.2493602e-16
1.7500674727052738e-09	-2.4052908e-06	0.050300688	-3.2701817e-06	-1.2493584e-16
2.0000983355779592e-09	-1.1146587e-06	0.050300688	-1.4345754e-06	-1.2493569e-16
2.2500101345189623e-09	2.181637e-06	0.050300725	-1.9103832e-06	-1.2493559e-16
2.5000687797895454e-09	2.4374083e-06	0.050300695	-4.158616e-06	-1.2493547e-16
2.7500167150180374e-09	-8.7541986e-07	0.050300688	-4.8999354e-06	-1.2493533e-16
3.000088115339141e-09	-2.9399987e-06	0.050300695	-2.9678235e-06	-1.2493522e-16
3.2501395380431414e-09	-8.48894e-07	0.050300688	-1.069795e-06	-1.2493515e-16
3.5000848316304987e-09	2.188068e-06	0.050300714	-1.7456575e-06	-1.2493508e-16
3.750064329393044e-09	1.4941369e-06	0.05030071	-3.5983867e-06	-1.24935e-16
4.000019062509141e-09	-1.9647732e-06	0.050300706	-3.386194e-06	-1.2493491e-16
4.250158197875029e-09	-3.1676805e-06	0.05030071	-8.4969133e-07	-1.249348e-16
4.5001224653853434e-09	-3.8331788e-07	0.05030072	8.736415e-07	-1.2493485e-16
4.750096481286898e-09	2.2191803e-06	0.050300706	-8.062883e-08	-1.2493477e-16
5.000036555133696e-09	6.7462923e-07	0.05030071	-1.5604496e-06	-1.2493473e-16
5.250029556870299e-09	-2.6702305e-06	0.05030071	-6.057999e-07	-1.2493466e-16
5.500079017272605e-09	-2.877178e-06	0.050300695	2.1166152e-06	-1.2493466e-16
5.750064934444195e-09	4.2145658e-07	0.050300702	3.2992796e-06	-1.249346e-16
6.0001346571988196e-09	2.3605417e-06	0.050300702	1.8794971e-06	-1.2493461e-16
6.250150335803514e-09	1.0919567e-07	0.050300717	6.269325e-07	-1.2493453e-16
6.500136674780215e-09	-2.867781e-06	0.050300706	1.9911201e-06	-1.2493447e-16
6.750067838394609e-09	-2.0607674e-06	0.050300717	4.433502e-06	-1.2493454e-16
7.000144338752994e-09	1.4829309e-06	0.050300717	4.7297913e-06	-1.249345e-16
7.25013118672054e-09	2.573592e-06	0.050300717	2.7323854e-06	-1.2493447e-16
7.50007079500974e-09	-2.390468e-07	0.050300706	1.5993552e-06	-1.249344e-16
7.750113448081224e-09	-2.6493522e-06	0.05030071	3.083836e-06	-1.2493441e-16
8.000003370658036e-09	-9.270877e-07	0.05030071	4.92291e-06	-1.2493438e-16
8.25008831811593e-09	2.5249012e-06	0.050300702	4.19595e-06	-1.2493443e-16
8.500156967485299e-09	2.6592993e-06	0.050300717	1.6962398e-06	-1.2493433e-16
8.750089068281712e-09	-5.5744226e-07	0.05030071	7.522106e-07	-1.2493436e-16
9.000004963297063e-09	-2.2533595e-06	0.050300717	2.2582574e-06	-1.2493437e-16
9.250121217028842e-09	2.0762546e-07	0.05030071	3.3950805e-06	-1.2493438e-16
9.50009426288457e-09	3.2379846e-06	0.05030071	1.7995184e-06	-1.2493442e-16
9.750053834018485e-09	2.3728383e-06	0.0503007	-8.6388803e-07	-1.249344e-16
1.0000042048624365e-08	-1.0547586e-06	0.05030071	-1.3947487e-06	-1.2493437e-16
1.025003498680059e-08	-1.938525e-06	0.050300695	2.2703951e-07	-1.2493438e-16
1.0500000546822357e-08	1.024979e-06	0.05030068	8.066134e-07	-1.2493438e-16
1.0750062588046099e-08	3.429058e-06	0.050300684	-1.2848052e-06	-1.2493437e-16
1.1000159702444521e-08	1.5806197e-06	0.05030068	-3.6573952e-06	-1.2493437e-16
1.1250113985551222e-08	-1.7743587e-06	0.050300676	-3.4533848e-06	-1.2493434e-16
1.150011245340896e-08	-1.7866073e-06	0.050300665	-1.5790354e-06	-1.2493438e-16
1.175008586884406e-08	1.4675437e-06	0.050300676	-1.3388828e-06	-1.2493434e-16
