# t (s)	mx ()	my ()	mz ()	E_total (J)
0	0.10068632	-0.013311387	-0.0008740966	-1.2249701e-18
1.0015878886218072e-10	0.09984346	-0.013291033	-0.000961801	-2.1906297e-19
2.0001171346673e-10	0.09796389	-0.01304009	-0.0006190952	-2.382351e-19
3.0000502010092325e-10	0.09553016	-0.013283216	-0.0009887329	-3.7756625e-19
4.000868909999592e-10	0.09323154	-0.013256852	-0.00089864485	-3.8926347e-19
5.002300344002259e-10	0.0904356	-0.013653163	-0.0008871947	-2.7023549e-19
6.001909548306368e-10	0.087366916	-0.013047346	-0.0009359022	-1.785944e-19
7.001104943416007e-10	0.08376861	-0.01289131	-0.00095327036	-3.5058295e-19
8.000258581252041e-10	0.080442555	-0.013951327	-0.000666375	-2.0141495e-19
9.000658427737401e-10	0.07505692	-0.01432802	-0.0007088416	-3.281809e-19
1.0002669920495405e-09	0.064531624	-0.011771769	-0.0018271588	-6.1125147e-19
1.1001276030605261e-09	0.060760308	-0.013532004	-0.00033268775	-1.1504906e-18
1.2001805062649854e-09	0.059046764	-0.013527978	-0.000597499	-1.0693072e-18
1.3000365363831311e-09	0.05709978	-0.012966339	-0.0010973038	-1.0392483e-18
1.4002030262207826e-09	0.054536995	-0.0131440405	-0.00083473214	-9.459766e-19
1.5000511921299532e-09	0.051267453	-0.013914294	-0.0014182627	-9.44951e-19
1.600044818335713e-09	0.043183513	-0.018514007	-0.00024074812	-1.0410609e-18
1.7000480172242737e-09	0.03771613	-0.014338229	-0.0017728562	-1.5814212e-18
1.8000522653418577e-09	0.037540667	-0.010803477	-0.0010569476	-1.7110238e-18
1.90007409237282e-09	0.037403774	-0.0147475945	-0.000768454	-1.5155e-18
2.000018130461731e-09	0.03707545	-0.013765479	-0.0006296657	-1.8255409e-18
2.100136562826162e-09	0.03741848	-0.012810362	-0.0005504235	-1.6363475e-18
2.2002412206869444e-09	0.037320096	-0.013616699	-0.0008312618	-1.6461175e-18
2.3001220116106056e-09	0.037628055	-0.012908033	-0.00084571814	-1.4934121e-18
2.4001062074882005e-09	0.03735115	-0.012849054	-0.0010095714	-1.6820139e-18
2.5e-09	0.03715705	-0.013399933	-0.00073565816	-1.4974058e-18
